episode,rewards_total
1,-11.6887247632
2,-11.9168586374
3,-11.5056025785
4,-26.8212203572
5,-199.822276281
6,-67.9098324291
7,-415.307904418
8,-85.6002832374
9,-75.856256696
10,-70.9713575383
11,-74.7921956687
12,-68.7351494834
13,-70.028957209
14,-72.4213129219
15,-69.9567061622
16,-72.2213537886
17,-68.8275722617
18,-75.2333821477
19,-73.5868454104
20,-71.488347232
21,-68.4014527968
22,-70.3511762921
23,-73.8791906159
24,-697.658200772
25,-269.356339274
26,-59.0075485385
27,-2138.08956632
28,-107.094251666
29,-1518.85011233
30,-71.4077607485
31,-73.209984969
32,-79.3585333586
33,-71.1902535597
34,-73.5743694657
35,-83.0577016757
36,-73.1358937384
37,-88.7418815935
38,-70.781039002
39,-77.6115415258
40,-26.5832885954
41,-22.1755317665
42,-22.5112941748
43,-21.6699315078
44,-22.5500489403
45,-22.0233105608
46,-21.8282572033
47,-19.9024830955
48,-2.21057082343
49,-9.73681966827
50,-7.27636950844
51,-4.93056042183
52,-9.52480923365
53,-3.28924831478
54,-21.7512314193
55,-22.0395446115
56,-21.5996353218
57,-21.9661667891
58,-20.3817425218
59,-8.15282717979
60,-203.725124351
61,-240.864071102
62,-153.006784748
63,-187.853635397
64,-307.577294761
65,-290.01713974
66,-77.5359240657
67,-1308.53934793
68,-1810.14408411
69,-1779.0279456
70,-34.971724443
71,-28.0266481127
72,-193.84847877
73,-77.0307849287
74,-15.261221899
75,-28.6257680638
76,-16.1981748158
77,-33.704304915
78,-44.5923854285
79,-101.735953434
80,-58.0292031215
81,-25.467214383
82,-40.7808629474
83,-40.3570874105
84,-14.2550200464
85,-11.0546156611
86,-7.85627988756
87,-15.4907128476
88,-21.376808171
89,-21.9452000975
90,-36.4228402639
91,-22.2655019232
92,-27.4588736445
93,-20.6653810469
94,-34.9606900438
95,-6.80955645972
96,-16.1913617114
97,-17.4642499319
98,-39.0700594396
99,-13.7365754123
100,-14.4458457859
101,-6.26827182417
102,-13.2942519755
103,-20.4763369304
104,-22.9408057723
105,-17.9227426842
106,-22.9836898603
107,-17.4045785643
108,-15.3664021797
109,-9.47629083623
110,-9.42119224814
111,-21.262699946
112,-36.4508561796
113,-11.5368712595
114,-17.3131785768
115,-18.8933463052
116,-38.1268060674
117,-30.3613789038
118,-45.3862635221
119,-15.9943426575
120,-29.6782915104
121,-18.3398100238
122,-21.4468509607
123,-30.336705366
124,-23.4004621654
125,-43.520167307
126,-82.2246086834
127,-31.037295038
128,-15.0667281449
129,-34.7261509279
130,-257.007517786
131,-36.2511852312
132,-282.443846334
133,-37.4718681674
134,-124.943604432
135,-22.5927633665
136,-40.8895604636
137,-37.874413929
138,-24.1267201995
139,-42.5745846178
140,-48.0984379684
141,-997.82964574
142,6.87492432737
143,-29.9986247754
144,-2.39843956684
145,-69.3493879524
146,-25.1413704657
147,-21.7827457368
148,-22.7707469309
149,-21.46621138
150,-22.093829644
151,-21.3779927404
152,-21.432501966
153,-21.0153208488
154,-22.6572654404
155,-22.1258432601
156,-21.9206546849
157,-22.0785930278
158,-21.2215240691
159,-22.6691611965
160,-21.3802664165
161,-22.0004475269
162,-22.0726212996
163,-22.7956981395
164,-21.5661832501
165,-21.9738432347
166,-21.1177224795
167,-22.2708363388
168,-21.5609994712
169,-22.425733712
170,-21.4528256094
171,-21.4435615899
172,-21.6964429705
173,-21.9305892766
174,-21.5968994148
175,-21.8599548217
176,-22.3810597
177,-22.0666984131
178,-22.1968361195
179,-22.7684335902
180,-21.6729058214
181,-20.9603642825
182,-21.037588664
183,-22.1266293935
184,-22.0360582703
185,-21.8563941705
186,-21.5523641134
187,-21.5057820029
188,-21.784112757
189,-21.7205323472
190,-22.4332572541
191,-22.2803763758
192,-21.7407000004
193,-22.0792361911
194,-21.6118727127
195,-20.8022043819
196,-21.7528622602
197,-21.3404767555
198,-21.7757182178
199,-22.4226702606
200,-21.932723387
201,-21.0995461781
202,-21.7986825104
203,-21.1084611661
204,-21.1369551608
205,-22.790302981
206,-22.1510310399
207,-21.5237866086
208,-22.3668416886
209,-22.0877602889
